emoji,czech
❌,ne
✅,ano
☀️,slunce
🌙,měsíc
⭐,hvězda
💧,voda
🌳,strom
🌸,květina
🍚,rýže
🍞,chléb
🥗,salát
🍕,pizza
🍔,hamburger
🍟,hranolky
🍗,kuře
🥩,maso
🐟,ryba
🍤,kreveta
🥚,vejce
🧀,sýr
🥕,mrkev
🥔,brambora
🌽,kukuřice
🍅,rajče
🥒,okurka
🥬,zelí
🍇,hrozny
🍋,citrón
🍎,jablko
🍌,banán
🍉,meloun
🍓,jahoda
🍒,třešeň
🥥,kokos
🍍,ananas
🥭,mango
🍆,lilek
🥑,avokádo
🌶️,paprika
🫑,paprika
🥜,arašíd
🍄,houba
🧄,česnek
🍯,med
🍰,dort
🍪,sušenka
🍫,čokoláda
🍬,bonbón
🍭,lízátko
🍩,kobliha
🍦,zmrzlina
🥤,nápoj
☕,káva
🍵,čaj
🧃,džus
🍺,pivo
🍷,víno
🏥,nemocnice
💊,lék
💉,injekce
🩹,náplast
🩺,stetoskop
🌡️,teploměr
🚔,policejní auto
🚑,sanitka
🚒,hasičské auto
🔥,oheň
🧯,hasicí přístroj
💀,lebka
☠️,jed
⚡,blesk
🌊,vlna
🌧️,déšť
❄️,sníh
🌪️,tornádo
🏠,dům
🚪,dveře
🪟,okno
🛏️,postel
🚿,sprcha
🚽,záchod
🔑,klíč
🔒,zámek
🪜,žebřík
👀,oči
🏧,bankomat
💳,karta
🔴,červená
🟠,oranžová
🟡,žlutá
🟢,zelená
🔵,modrá
🟣,fialová
⚫,černá
⚪,bílá
🟤,hnědá
🐱,kočka
🐶,pes
🐰,králík
🦊,liška
🐻,medvěd
🐯,tygr
🦁,lev
🐮,kráva
🐷,prase
🐸,žába
🐵,opice
🐔,slepice
🐧,tučňák
🐤,kuřátko
🦆,kachna
🦅,orel
🐺,vlk
🐗,divočák
🐴,kůň
🐝,včela
🐛,housenka
🦋,motýl
🐌,hlemýžď
🐞,beruška
🐜,mravenec
🦗,cvrček
🕷️,pavouk
🦂,štír
🐢,želva
🐍,had
🦎,ještěrka
🐙,chobotnice
🦑,krakatice
🦐,kreveta
🦞,humr
🦀,krab
🐠,ryba
🐳,velryba
🐬,delfín
🦈,žralok
🐊,krokodýl
🦓,zebra
🐘,slon
🐪,velbloud
🦘,klokan
🐑,ovce
🦢,labuť
🦝,mýval
🦨,skunk
🦔,ježek
🚌,autobus
🚗,auto
🏎️,závodní auto
🚠,lanovka
🚅,vlak
🚂,lokomotiva
✈️,letadlo
🛫,vzlet
🛬,přistání
🪂,padák
🚁,vrtulník
🛰️,satelit
🚀,raketa
🚢,loď
🛥️,motorový člun
🚤,rychlý člun
⛵,plachetnice
🛶,kánoe
⚓,kotva
⛽,palivo
🚦,semafor
📱,telefon
📶,signál
🔌,zástrčka
🛜,wifi
🎣,rybaření
🛠️,nástroje
📚,knihy
