emoji,danish
❌,nej
✅,ja
☀️,sol
🌙,måne
⭐,stjerne
💧,vand
🌳,træ
🌸,blomst
🍚,ris
🍞,brød
🥗,salat
🍕,pizza
🍔,burger
🍟,pommes frites
🍗,kylling
🥩,kød
🐟,fisk
🍤,reje
🥚,æg
🧀,ost
🥕,gulerod
🥔,kartoffel
🌽,majs
🍅,tomat
🥒,agurk
🥬,kål
🍇,druer
🍋,citron
🍎,æble
🍌,banan
🍉,vandmelon
🍓,jordbær
🍒,kirsebær
🥥,kokosnød
🍍,ananas
🥭,mango
🍆,aubergine
🥑,avocado
🌶️,chili
🫑,peberfrugt
🥜,jordnød
🍄,svamp
🧄,hvidløg
🍯,honning
🍰,kage
🍪,småkage
🍫,chokolade
🍬,slik
🍭,slikkepind
🍩,doughnut
🍦,is
🥤,drik
☕,kaffe
🍵,te
🧃,juice
🍺,øl
🍷,vin
🏥,hospital
💊,medicin
💉,indsprøjtning
🩹,plaster
🩺,stetoskop
🌡️,termometer
🚔,politibil
🚑,ambulance
🚒,brandbil
🔥,ild
🧯,ildslukker
💀,kranium
☠️,gift
⚡,lyn
🌊,bølge
🌧️,regn
❄️,sne
🌪️,tornado
🏠,hus
🚪,dør
🪟,vindue
🛏️,seng
🚿,bruser
🚽,toilet
🔑,nøgle
🔒,lås
🪜,stige
👀,øjne
🏧,hæveautomat
💳,kort
🔴,rød
🟠,orange
🟡,gul
🟢,grøn
🔵,blå
🟣,lilla
⚫,sort
⚪,hvid
🟤,brun
🐱,kat
🐶,hund
🐰,kanin
🦊,ræv
🐻,bjørn
🐯,tiger
🦁,løve
🐮,ko
🐷,gris
🐸,frø
🐵,abe
🐔,høne
🐧,pingvin
🐤,kylling
🦆,and
🦅,ørn
🐺,ulv
🐗,vildsvin
🐴,hest
🐝,bi
🐛,larve
🦋,sommerfugl
🐌,snegl
🐞,mariehøne
🐜,myre
🦗,fårekylling
🕷️,edderkop
🦂,skorpion
🐢,skildpadde
🐍,slange
🦎,firben
🐙,blæksprutte
🦑,blæksprutte
🦐,reje
🦞,hummer
🦀,krabbe
🐠,fisk
🐳,hval
🐬,delfin
🦈,haj
🐊,krokodille
🦓,zebra
🐘,elefant
🐪,kamel
🦘,kænguru
🐑,får
🦢,svane
🦝,vaskebjørn
🦨,stinkdyr
🦔,pindsvin
🚌,bus
🚗,bil
🏎️,racerbil
🚠,kabelbane
🚅,tog
🚂,lokomotiv
✈️,fly
🛫,afgang
🛬,landing
🪂,faldskærm
🚁,helikopter
🛰️,satellit
🚀,raket
🚢,skib
🛥️,motorbåd
🚤,speedbåd
⛵,sejlbåd
🛶,kano
⚓,anker
⛽,brændstof
🚦,trafikly s
📱,telefon
📶,signal
🔌,stik
🛜,wifi
🎣,fiskeri
🛠️,værktøj
📚,bøger
