emoji,dutch
❌,nee
✅,ja
☀️,zon
🌙,maan
⭐,ster
💧,water
🌳,boom
🌸,bloem
🍚,rijst
🍞,brood
🥗,salade
🍕,pizza
🍔,hamburger
🍟,friet
🍗,kip
🥩,vlees
🐟,vis
🍤,garnaal
🥚,ei
🧀,kaas
🥕,wortel
🥔,aardappel
🌽,maïs
🍅,tomaat
🥒,komkommer
🥬,sla
🍇,druiven
🍋,citroen
🍎,appel
🍌,banaan
🍉,watermeloen
🍓,aardbei
🍒,kers
🥥,kokosnoot
🍍,ananas
🥭,mango
🍆,aubergine
🥑,avocado
🌶️,peper
🫑,paprika
🥜,pinda
🍄,paddenstoel
🧄,knoflook
🍯,honing
🍰,taart
🍪,koekje
🍫,chocolade
🍬,snoep
🍭,lolly
🍩,donut
🍦,ijs
🥤,drankje
☕,koffie
🍵,thee
🧃,sap
🍺,bier
🍷,wijn
🏥,ziekenhuis
💊,pil
💉,injectie
🩹,pleister
🩺,stethoscoop
🌡️,thermometer
🚔,politie
🚑,ambulance
🚒,brandweer
🔥,vuur
🧯,brandblusser
💀,schedel
☠️,gevaar
⚡,bliksem
🌊,golf
🌧️,regen
❄️,sneeuw
🌪️,tornado
🏠,huis
🚪,deur
🪟,raam
🛏️,bed
🚿,douche
🚽,toilet
🔑,sleutel
🔒,slot
🪜,ladder
👀,ogen
🏧,geldautomaat
💳,kaart
🔴,rood
🟠,oranje
🟡,geel
🟢,groen
🔵,blauw
🟣,paars
⚫,zwart
⚪,wit
🟤,bruin
🐱,kat
🐶,hond
🐰,konijn
🦊,vos
🐻,beer
🐯,tijger
🦁,leeuw
🐮,koe
🐷,varken
🐸,kikker
🐵,aap
🐔,kip
🐧,pinguïn
🐤,kuiken
🦆,eend
🦅,adelaar
🐺,wolf
🐗,zwijn
🐴,paard
🐝,bij
🐛,rups
🦋,vlinder
🐌,slak
🐞,lieveheersbeestje
🐜,mier
🦗,krekel
🕷️,spin
🦂,schorpioen
🐢,schildpad
🐍,slang
🦎,hagedis
🐙,octopus
🦑,inktvis
🦐,garnaal
🦞,kreeft
🦀,krab
🐠,vis
🐳,walvis
🐬,dolfijn
🦈,haai
🐊,krokodil
🦓,zebra
🐘,olifant
🐪,kameel
🦘,kangoeroe
🐑,schaap
🦢,zwaan
🦝,wasbeer
🦨,stinkdier
🦔,egel
🚌,bus
🚗,auto
🏎️,raceauto
🚠,kabelbaan
🚅,trein
🚂,stoomtrein
✈️,vliegtuig
🛫,opstijgen
🛬,landen
🪂,parachute
🚁,helikopter
🛰️,satelliet
🚀,raket
🚢,schip
🛥️,motorboot
🚤,speedboot
⛵,zeilboot
🛶,kano
⚓,anker
⛽,benzine
🚦,stoplicht
📱,telefoon
📶,signaal
🔌,stekker
🛜,wifi
🎣,vissen
🛠️,gereedschap
📚,boeken
