emoji,finnish
❌,ei
✅,kyllä
☀️,aurinko
🌙,kuu
⭐,tähti
💧,vesi
🌳,puu
🌸,kukka
🍚,riisi
🍞,leipä
🥗,salaatti
🍕,pizza
🍔,hampurilainen
🍟,ranskalaiset
🍗,kana
🥩,liha
🐟,kala
🍤,katkarapu
🥚,muna
🧀,juusto
🥕,porkkana
🥔,peruna
🌽,maissi
🍅,tomaatti
🥒,kurkku
🥬,salaatti
🍇,viinirypäleet
🍋,sitruuna
🍎,omena
🍌,banaani
🍉,vesimeloni
🍓,mansikka
🍒,kirsikka
🥥,kookospähkinä
🍍,ananas
🥭,mango
🍆,munakoiso
🥑,avokado
🌶️,chili
🫑,paprika
🥜,maapähkinä
🍄,sieni
🧄,valkosipuli
🍯,hunaja
🍰,kakku
🍪,keksi
🍫,suklaa
🍬,karkki
🍭,tikkari
🍩,munkki
🍦,jäätelö
🥤,juoma
☕,kahvi
🍵,tee
🧃,mehu
🍺,olut
🍷,viini
🏥,sairaala
💊,pilleri
💉,ruiske
🩹,laastari
🩺,stetoskooppi
🌡️,lämpömittari
🚔,poliisi
🚑,ambulanssi
🚒,paloauto
🔥,tuli
🧯,sammutin
💀,kallo
☠️,vaara
⚡,salama
🌊,aalto
🌧️,sade
❄️,lumi
🌪️,tornado
🏠,talo
🚪,ovi
🪟,ikkuna
🛏️,sänky
🚿,suihku
🚽,wc
🔑,avain
🔒,lukko
🪜,tikkaat
👀,silmät
🏧,pankkiautomaatti
💳,kortti
🔴,punainen
🟠,oranssi
🟡,keltainen
🟢,vihreä
🔵,sininen
🟣,violetti
⚫,musta
⚪,valkoinen
🟤,ruskea
🐱,kissa
🐶,koira
🐰,kaniini
🦊,kettu
🐻,karhu
🐯,tiikeri
🦁,leijona
🐮,lehmä
🐷,sika
🐸,sammakko
🐵,apina
🐔,kana
🐧,pingviini
🐤,poikanen
🦆,ankka
🦅,kotka
🐺,susi
🐗,villisika
🐴,hevonen
🐝,mehiläinen
🐛,toukka
🦋,perhonen
🐌,etana
🐞,leppäkerttu
🐜,muurahainen
🦗,heinäsirkka
🕷️,hämähäkki
🦂,skorpioni
🐢,kilpikonna
🐍,käärme
🦎,lisko
🐙,mustekala
🦑,kalmari
🦐,katkarapu
🦞,hummeri
🦀,rapu
🐠,kala
🐳,valas
🐬,delfiini
🦈,hai
🐊,krokotiili
🦓,seepra
🐘,norsu
🐪,kameli
🦘,kenguru
🐑,lammas
🦢,joutsen
🦝,pesukarhu
🦨,haisunäätä
🦔,siili
🚌,bussi
🚗,auto
🏎️,kilpa-auto
🚠,köysirata
🚅,juna
🚂,höyryjuna
✈️,lentokone
🛫,nousu
🛬,lasku
🪂,laskuvarjo
🚁,helikopteri
🛰️,satelliitti
🚀,raketti
🚢,laiva
🛥️,moottorivene
🚤,pikavene
⛵,purjevene
🛶,kanootti
⚓,ankkuri
⛽,bensiini
🚦,liikennevalo
📱,puhelin
📶,signaali
🔌,pistoke
🛜,wifi
🎣,kalastus
🛠️,työkalut
📚,kirjat
