emoji,french
❌,non
✅,oui
☀️,soleil
🌙,lune
⭐,étoile
💧,eau
🌳,arbre
🌸,fleur
🍚,riz
🍞,pain
🥗,salade
🍕,pizza
🍔,hamburger
🍟,frites
🍗,poulet
🥩,viande
🐟,poisson
🍤,crevette
🥚,œuf
🧀,fromage
🥕,carotte
🥔,pomme de terre
🌽,maïs
🍅,tomate
🥒,concombre
🥬,laitue
🍇,raisins
🍋,citron
🍎,pomme
🍌,banane
🍉,pastèque
🍓,fraise
🍒,cerise
🥥,noix de coco
🍍,ananas
🥭,mangue
🍆,aubergine
🥑,avocat
🌶️,piment
🫑,poivron
🥜,cacahuète
🍄,champignon
🧄,ail
🍯,miel
🍰,gâteau
🍪,biscuit
🍫,chocolat
🍬,bonbon
🍭,sucette
🍩,beignet
🍦,glace
🥤,boisson
☕,café
🍵,thé
🧃,jus
🍺,bière
🍷,vin
🏥,hôpital
💊,pilule
💉,injection
🩹,pansement
🩺,stéthoscope
🌡️,thermomètre
🚔,police
🚑,ambulance
🚒,pompiers
🔥,feu
🧯,extincteur
💀,crâne
☠️,poison
⚡,éclair
🌊,vague
🌧️,pluie
❄️,neige
🌪️,tornade
🏠,maison
🚪,porte
🪟,fenêtre
🛏️,lit
🚿,douche
🚽,toilettes
🔑,clé
🔒,cadenas
🪜,échelle
👀,yeux
🏧,distributeur
💳,carte
🔴,rouge
🟠,orange
🟡,jaune
🟢,vert
🔵,bleu
🟣,violet
⚫,noir
⚪,blanc
🟤,marron
🐱,chat
🐶,chien
🐰,lapin
🦊,renard
🐻,ours
🐯,tigre
🦁,lion
🐮,vache
🐷,cochon
🐸,grenouille
🐵,singe
🐔,poulet
🐧,pingouin
🐤,poussin
🦆,canard
🦅,aigle
🐺,loup
🐗,sanglier
🐴,cheval
🐝,abeille
🐛,chenille
🦋,papillon
🐌,escargot
🐞,coccinelle
🐜,fourmi
🦗,grillon
🕷️,araignée
🦂,scorpion
🐢,tortue
🐍,serpent
🦎,lézard
🐙,pieuvre
🦑,calmar
🦐,crevette
🦞,homard
🦀,crabe
🐠,poisson
🐳,baleine
🐬,dauphin
🦈,requin
🐊,crocodile
🦓,zèbre
🐘,éléphant
🐪,chameau
🦘,kangourou
🐑,mouton
🦢,cygne
🦝,raton laveur
🦨,mouffette
🦔,hérisson
🚌,bus
🚗,voiture
🏎️,voiture de course
🚠,téléphérique
🚅,train à grande vitesse
🚂,train
✈️,avion
🛫,décollage
🛬,atterrissage
🪂,parachute
🚁,hélicoptère
🛰️,satellite
🚀,fusée
🚢,navire
🛥️,bateau à moteur
🚤,hors-bord
⛵,voilier
🛶,canoë
⚓,ancre
⛽,essence
🚦,feu de circulation
📱,téléphone
📶,signal
🔌,prise
🛜,wifi
🎣,pêche
🛠️,outils
📚,livres
