emoji,german
❌,nein
✅,ja
☀️,Sonne
🌙,Mond
⭐,Stern
💧,Wasser
🌳,Baum
🌸,Blume
🍚,Reis
🍞,Brot
🥗,Salat
🍕,Pizza
🍔,Hamburger
🍟,Pommes
🍗,Hähnchen
🥩,Fleisch
🐟,Fisch
🍤,Garnele
🥚,Ei
🧀,Käse
🥕,Karotte
🥔,Kartoffel
🌽,Mais
🍅,Tomate
🥒,Gurke
🥬,Kopfsalat
🍇,Trauben
🍋,Zitrone
🍎,Apfel
🍌,Banane
🍉,Wassermelone
🍓,Erdbeere
🍒,Kirsche
🥥,Kokosnuss
🍍,Ananas
🥭,Mango
🍆,Aubergine
🥑,Avocado
🌶️,Chili
🫑,Paprika
🥜,Erdnuss
🍄,Pilz
🧄,Knoblauch
🍯,Honig
🍰,Kuchen
🍪,Keks
🍫,Schokolade
🍬,Bonbon
🍭,Lutscher
🍩,Donut
🍦,Eis
🥤,Getränk
☕,Kaffee
🍵,Tee
🧃,Saft
🍺,Bier
🍷,Wein
🏥,Krankenhaus
💊,Pille
💉,Spritze
🩹,Pflaster
🩺,Stethoskop
🌡️,Thermometer
🚔,Polizei
🚑,Krankenwagen
🚒,Feuerwehr
🔥,Feuer
🧯,Feuerlöscher
💀,Schädel
☠️,Gift
⚡,Blitz
🌊,Welle
🌧️,Regen
❄️,Schnee
🌪️,Tornado
🏠,Haus
🚪,Tür
🪟,Fenster
🛏️,Bett
🚿,Dusche
🚽,Toilette
🔑,Schlüssel
🔒,Schloss
🪜,Leiter
👀,Augen
🏧,Geldautomat
💳,Karte
🔴,rot
🟠,orange
🟡,gelb
🟢,grün
🔵,blau
🟣,lila
⚫,schwarz
⚪,weiß
🟤,braun
🐱,Katze
🐶,Hund
🐰,Hase
🦊,Fuchs
🐻,Bär
🐯,Tiger
🦁,Löwe
🐮,Kuh
🐷,Schwein
🐸,Frosch
🐵,Affe
🐔,Huhn
🐧,Pinguin
🐤,Küken
🦆,Ente
🦅,Adler
🐺,Wolf
🐗,Wildschwein
🐴,Pferd
🐝,Biene
🐛,Raupe
🦋,Schmetterling
🐌,Schnecke
🐞,Marienkäfer
🐜,Ameise
🦗,Grille
🕷️,Spinne
🦂,Skorpion
🐢,Schildkröte
🐍,Schlange
🦎,Eidechse
🐙,Krake
🦑,Tintenfisch
🦐,Garnele
🦞,Hummer
🦀,Krabbe
🐠,Fisch
🐳,Wal
🐬,Delfin
🦈,Hai
🐊,Krokodil
🦓,Zebra
🐘,Elefant
🐪,Kamel
🦘,Känguru
🐑,Schaf
🦢,Schwan
🦝,Waschbär
🦨,Stinktier
🦔,Igel
🚌,Bus
🚗,Auto
🏎️,Rennwagen
🚠,Seilbahn
🚅,Hochgeschwindigkeitszug
🚂,Zug
✈️,Flugzeug
🛫,Abflug
🛬,Landung
🪂,Fallschirm
🚁,Hubschrauber
🛰️,Satellit
🚀,Rakete
🚢,Schiff
🛥️,Motorboot
🚤,Schnellboot
⛵,Segelboot
🛶,Kanu
⚓,Anker
⛽,Benzin
🚦,Ampel
📱,Telefon
📶,Signal
🔌,Stecker
🛜,WLAN
🎣,Angeln
🛠️,Werkzeuge
📚,Bücher
