emoji,greek
❌,όχι
✅,ναι
☀️,ήλιος
🌙,φεγγάρι
⭐,αστέρι
💧,νερό
🌳,δέντρο
🌸,λουλούδι
🍚,ρύζι
🍞,ψωμί
🥗,σαλάτα
🍕,πίτσα
🍔,μπέργκερ
🍟,πατάτες
🍗,κοτόπουλο
🥩,κρέας
🐟,ψάρι
🍤,γαρίδα
🥚,αυγό
🧀,τυρί
🥕,καρότο
🥔,πατάτα
🌽,καλαμπόκι
🍅,ντομάτα
🥒,αγγούρι
🥬,μαρούλι
🍇,σταφύλια
🍋,λεμόνι
🍎,μήλο
🍌,μπανάνα
🍉,καρπούζι
🍓,φράουλα
🍒,κεράσι
🥥,καρύδα
🍍,ανανάς
🥭,μάνγκο
🍆,μελιτζάνα
🥑,αβοκάντο
🌶️,πιπεριά
🫑,πιπεριά
🥜,φιστίκι
🍄,μανιτάρι
🧄,σκόρδο
🍯,μέλι
🍰,τούρτα
🍪,μπισκότο
🍫,σοκολάτα
🍬,καραμέλα
🍭,γλειφιτζούρι
🍩,ντόνατ
🍦,παγωτό
🥤,ποτό
☕,καφές
🍵,τσάι
🧃,χυμός
🍺,μπίρα
🍷,κρασί
🏥,νοσοκομείο
💊,χάπι
💉,ένεση
🩹,επίδεσμος
🩺,στηθοσκόπιο
🌡️,θερμόμετρο
🚔,αστυνομία
🚑,ασθενοφόρο
🚒,πυροσβεστική
🔥,φωτιά
🧯,πυροσβεστήρας
💀,κρανίο
☠️,κίνδυνος
⚡,αστραπή
🌊,κύμα
🌧️,βροχή
❄️,χιόνι
🌪️,ανεμοστρόβιλος
🏠,σπίτι
🚪,πόρτα
🪟,παράθυρο
🛏️,κρεβάτι
🚿,ντους
🚽,τουαλέτα
🔑,κλειδί
🔒,κλειδαριά
🪜,σκάλα
👀,μάτια
🏧,ΑΤΜ
💳,κάρτα
🔴,κόκκινο
🟠,πορτοκαλί
🟡,κίτρινο
🟢,πράσινο
🔵,μπλε
🟣,μωβ
⚫,μαύρο
⚪,άσπρο
🟤,καφέ
🐱,γάτα
🐶,σκύλος
🐰,κουνέλι
🦊,αλεπού
🐻,αρκούδα
🐯,τίγρης
🦁,λιοντάρι
🐮,αγελάδα
🐷,γουρούνι
🐸,βάτραχος
🐵,μαϊμού
🐔,κότα
🐧,πιγκουίνος
🐤,κοτοπουλάκι
🦆,πάπια
🦅,αετός
🐺,λύκος
🐗,αγριογούρουνο
🐴,άλογο
🐝,μέλισσα
🐛,κάμπια
🦋,πεταλούδα
🐌,σαλιγκάρι
🐞,πασχαλίτσα
🐜,μυρμήγκι
🦗,γρύλος
🕷️,αράχνη
🦂,σκορπιός
🐢,χελώνα
🐍,φίδι
🦎,σαύρα
🐙,χταπόδι
🦑,καλαμάρι
🦐,γαρίδα
🦞,αστακός
🦀,καβούρι
🐠,ψάρι
🐳,φάλαινα
🐬,δελφίνι
🦈,καρχαρίας
🐊,κροκόδειλος
🦓,ζέβρα
🐘,ελέφαντας
🐪,καμήλα
🦘,καγκουρό
🐑,πρόβατο
🦢,κύκνος
🦝,ρακούν
🦨,μεφίτιδα
🦔,σκαντζόχοιρος
🚌,λεωφορείο
🚗,αυτοκίνητο
🏎️,αγωνιστικό
🚠,τελεφερίκ
🚅,τρένο
🚂,ατμομηχανή
✈️,αεροπλάνο
🛫,απογείωση
🛬,προσγείωση
🪂,αλεξίπτωτο
🚁,ελικόπτερο
🛰️,δορυφόρος
🚀,πύραυλος
🚢,πλοίο
🛥️,μηχανότρατα
🚤,ταχύπλοο
⛵,ιστιοφόρο
🛶,κανό
⚓,άγκυρα
⛽,βενζίνη
🚦,φανάρι
📱,τηλέφωνο
📶,σήμα
🔌,πρίζα
🛜,wifi
🎣,ψάρεμα
🛠️,εργαλεία
📚,βιβλία
