emoji,haitian_creole
❌,non
✅,wi
☀️,solèy
🌙,lalin
⭐,zetwal
💧,dlo
🌳,pyebwa
🌸,flè
🍚,diri
🍞,pen
🥗,salad
🍕,pizza
🍔,anbègè
🍟,frit
🍗,poul
🥩,vyann
🐟,pwason
🍤,kribich
🥚,ze
🧀,fromaj
🥕,kawòt
🥔,ponmdètè
🌽,mayi
🍅,tomat
🥒,konkonm
🥬,leti
🍇,rezen
🍋,sitwon
🍎,pòm
🍌,fig
🍉,melon
🍓,frèz
🍒,seriz
🥥,kokoye
🍍,anana
🥭,mango
🍆,berejèn
🥑,zaboka
🌶️,piman
🫑,piman
🥜,pistach
🍄,chanpiyon
🧄,lay
🍯,siwo myèl
🍰,gato
🍪,biskwit
🍫,chokola
🍬,bonbon
🍭,souse
🍩,donèt
🍦,krèm
🥤,bwason
☕,kafe
🍵,te
🧃,ji
🍺,byè
🍷,diven
🏥,lopital
💊,grenn
💉,piki
🩹,panseman
🩺,estetoskòp
🌡️,tèmomèt
🚔,lapolis
🚑,anbilans
🚒,ponpye
🔥,dife
🧯,estentè
💀,zo tèt
☠️,danje
⚡,loray
🌊,vag
🌧️,lapli
❄️,nèj
🌪️,siklòn
🏠,kay
🚪,pòt
🪟,fenèt
🛏️,kabann
🚿,douch
🚽,twalèt
🔑,kle
🔒,kadna
🪜,echèl
👀,je
🏧,distribitè
💳,kat
🔴,wouj
🟠,zoranj
🟡,jòn
🟢,vèt
🔵,ble
🟣,mov
⚫,nwa
⚪,blan
🟤,mawon
🐱,chat
🐶,chen
🐰,lapen
🦊,rena
🐻,lous
🐯,tig
🦁,lyon
🐮,bèf
🐷,kochon
🐸,krapo
🐵,makak
🐔,poul
🐧,pengwen
🐤,pousèn
🦆,kanna
🦅,èg
🐺,loulou
🐗,kochon mawon
🐴,chwal
🐝,myèl
🐛,vè
🦋,papiyon
🐌,kalmason
🐞,bèt Bondye
🐜,foumi
🦗,krikèt
🕷️,zarenyen
🦂,eskòpyon
🐢,tòti
🐍,koulèv
🦎,leza
🐙,pyèv
🦑,kalma
🦐,kribich
🦞,woma
🦀,krab
🐠,pwason
🐳,balèn
🐬,dofin
🦈,reken
🐊,krokodil
🦓,zèb
🐘,elefan
🐪,chamo
🦘,kangourou
🐑,mouton
🦢,sin
🦝,chyen raton
🦨,bèt pian
🦔,eriso
🚌,bis
🚗,machin
🏎️,machin kous
🚠,telefèrik
🚅,tren
🚂,tren vapè
✈️,avyon
🛫,dekole
🛬,atèri
🪂,parachit
🚁,elikoptè
🛰️,satelit
🚀,rake
🚢,bato
🛥️,bato motè
🚤,bato rapid
⛵,bato vwal
🛶,kano
⚓,lank
⛽,gazolin
🚦,fè wouj
📱,telefòn
📶,siyal
🔌,priz
🛜,wifi
🎣,lapèch
🛠️,zouti
📚,liv
