emoji,indonesian
❌,tidak
✅,ya
☀️,matahari
🌙,bulan
⭐,bintang
💧,air
🌳,pohon
🌸,bunga
🍚,nasi
🍞,roti
🥗,salad
🍕,pizza
🍔,burger
🍟,kentang goreng
🍗,ayam
🥩,daging
🐟,ikan
🍤,udang
🥚,telur
🧀,keju
🥕,wortel
🥔,kentang
🌽,jagung
🍅,tomat
🥒,mentimun
🥬,selada
🍇,anggur
🍋,lemon
🍎,apel
🍌,pisang
🍉,semangka
🍓,stroberi
🍒,ceri
🥥,kelapa
🍍,nanas
🥭,mangga
🍆,terong
🥑,alpukat
🌶️,cabai
🫑,paprika
🥜,kacang
🍄,jamur
🧄,bawang putih
🍯,madu
🍰,kue
🍪,biskuit
🍫,cokelat
🍬,permen
🍭,lolipop
🍩,donat
🍦,es krim
🥤,minuman
☕,kopi
🍵,teh
🧃,jus
🍺,bir
🍷,anggur
🏥,rumah sakit
💊,pil
💉,suntikan
🩹,plester
🩺,stetoskop
🌡️,termometer
🚔,polisi
🚑,ambulans
🚒,pemadam kebakaran
🔥,api
🧯,pemadam api
💀,tengkorak
☠️,bahaya
⚡,petir
🌊,ombak
🌧️,hujan
❄️,salju
🌪️,tornado
🏠,rumah
🚪,pintu
🪟,jendela
🛏️,tempat tidur
🚿,shower
🚽,toilet
🔑,kunci
🔒,gembok
🪜,tangga
👀,mata
🏧,ATM
💳,kartu
🔴,merah
🟠,oranye
🟡,kuning
🟢,hijau
🔵,biru
🟣,ungu
⚫,hitam
⚪,putih
🟤,coklat
🐱,kucing
🐶,anjing
🐰,kelinci
🦊,rubah
🐻,beruang
🐯,harimau
🦁,singa
🐮,sapi
🐷,babi
🐸,katak
🐵,monyet
🐔,ayam
🐧,penguin
🐤,anak ayam
🦆,bebek
🦅,elang
🐺,serigala
🐗,babi hutan
🐴,kuda
🐝,lebah
🐛,ulat
🦋,kupu-kupu
🐌,siput
🐞,kepik
🐜,semut
🦗,jangkrik
🕷️,laba-laba
🦂,kalajengking
🐢,kura-kura
🐍,ular
🦎,kadal
🐙,gurita
🦑,cumi-cumi
🦐,udang
🦞,lobster
🦀,kepiting
🐠,ikan
🐳,paus
🐬,lumba-lumba
🦈,hiu
🐊,buaya
🦓,zebra
🐘,gajah
🐪,unta
🦘,kanguru
🐑,domba
🦢,angsa
🦝,rakun
🦨,sigung
🦔,landak
🚌,bus
🚗,mobil
🏎️,mobil balap
🚠,kereta gantung
🚅,kereta
🚂,lokomotif
✈️,pesawat
🛫,lepas landas
🛬,mendarat
🪂,parasut
🚁,helikopter
🛰️,satelit
🚀,roket
🚢,kapal
🛥️,perahu motor
🚤,perahu cepat
⛵,perahu layar
🛶,kano
⚓,jangkar
⛽,bensin
🚦,lampu lalu lintas
📱,telepon
📶,sinyal
🔌,colokan
🛜,wifi
🎣,memancing
🛠️,alat
📚,buku
