emoji,italian
❌,no
✅,sì
☀️,sole
🌙,luna
⭐,stella
💧,acqua
🌳,albero
🌸,fiore
🍚,riso
🍞,pane
🥗,insalata
🍕,pizza
🍔,hamburger
🍟,patatine fritte
🍗,pollo
🥩,carne
🐟,pesce
🍤,gambero
🥚,uovo
🧀,formaggio
🥕,carota
🥔,patata
🌽,mais
🍅,pomodoro
🥒,cetriolo
🥬,lattuga
🍇,uva
🍋,limone
🍎,mela
🍌,banana
🍉,anguria
🍓,fragola
🍒,ciliegia
🥥,cocco
🍍,ananas
🥭,mango
🍆,melanzana
🥑,avocado
🌶️,peperoncino
🫑,peperone
🥜,arachide
🍄,fungo
🧄,aglio
🍯,miele
🍰,torta
🍪,biscotto
🍫,cioccolato
🍬,caramella
🍭,lecca-lecca
🍩,ciambella
🍦,gelato
🥤,bevanda
☕,caffè
🍵,tè
🧃,succo
🍺,birra
🍷,vino
🏥,ospedale
💊,pillola
💉,iniezione
🩹,cerotto
🩺,stetoscopio
🌡️,termometro
🚔,polizia
🚑,ambulanza
🚒,vigili del fuoco
🔥,fuoco
🧯,estintore
💀,teschio
☠️,veleno
⚡,fulmine
🌊,onda
🌧️,pioggia
❄️,neve
🌪️,tornado
🏠,casa
🚪,porta
🪟,finestra
🛏️,letto
🚿,doccia
🚽,toilette
🔑,chiave
🔒,lucchetto
🪜,scala
👀,occhi
🏧,bancomat
💳,carta
🔴,rosso
🟠,arancione
🟡,giallo
🟢,verde
🔵,blu
🟣,viola
⚫,nero
⚪,bianco
🟤,marrone
🐱,gatto
🐶,cane
🐰,coniglio
🦊,volpe
🐻,orso
🐯,tigre
🦁,leone
🐮,mucca
🐷,maiale
🐸,rana
🐵,scimmia
🐔,pollo
🐧,pinguino
🐤,pulcino
🦆,anatra
🦅,aquila
🐺,lupo
🐗,cinghiale
🐴,cavallo
🐝,ape
🐛,bruco
🦋,farfalla
🐌,lumaca
🐞,coccinella
🐜,formica
🦗,grillo
🕷️,ragno
🦂,scorpione
🐢,tartaruga
🐍,serpente
🦎,lucertola
🐙,polpo
🦑,calamaro
🦐,gambero
🦞,aragosta
🦀,granchio
🐠,pesce
🐳,balena
🐬,delfino
🦈,squalo
🐊,coccodrillo
🦓,zebra
🐘,elefante
🐪,cammello
🦘,canguro
🐑,pecora
🦢,cigno
🦝,procione
🦨,puzzola
🦔,riccio
🚌,autobus
🚗,auto
🏎️,auto da corsa
🚠,funivia
🚅,treno ad alta velocità
🚂,treno
✈️,aereo
🛫,decollo
🛬,atterraggio
🪂,paracadute
🚁,elicottero
🛰️,satellite
🚀,razzo
🚢,nave
🛥️,motoscafo
🚤,motoscafo veloce
⛵,barca a vela
🛶,canoa
⚓,ancora
⛽,benzina
🚦,semaforo
📱,telefono
📶,segnale
🔌,spina
🛜,wifi
🎣,pesca
🛠️,attrezzi
📚,libri
