emoji,japanese
❌,いいえ
✅,はい
☀️,太陽
🌙,月
⭐,星
💧,水
🌳,木
🌸,花
🍚,ご飯
🍞,パン
🥗,サラダ
🍕,ピザ
🍔,ハンバーガー
🍟,フライドポテト
🍗,鶏肉
🥩,肉
🐟,魚
🍤,エビ
🥚,卵
🧀,チーズ
🥕,ニンジン
🥔,ジャガイモ
🌽,トウモロコシ
🍅,トマト
🥒,キュウリ
🥬,レタス
🍇,ブドウ
🍋,レモン
🍎,リンゴ
🍌,バナナ
🍉,スイカ
🍓,イチゴ
🍒,サクランボ
🥥,ココナッツ
🍍,パイナップル
🥭,マンゴー
🍆,ナス
🥑,アボカド
🌶️,唐辛子
🫑,ピーマン
🥜,ピーナッツ
🍄,キノコ
🧄,ニンニク
🍯,蜂蜜
🍰,ケーキ
🍪,クッキー
🍫,チョコレート
🍬,キャンディー
🍭,ロリポップ
🍩,ドーナツ
🍦,アイスクリーム
🥤,飲み物
☕,コーヒー
🍵,お茶
🧃,ジュース
🍺,ビール
🍷,ワイン
🏥,病院
💊,薬
💉,注射
🩹,絆創膏
🩺,聴診器
🌡️,体温計
🚔,警察
🚑,救急車
🚒,消防車
🔥,火
🧯,消火器
💀,頭蓋骨
☠️,毒
⚡,稲妻
🌊,波
🌧️,雨
❄️,雪
🌪️,竜巻
🏠,家
🚪,ドア
🪟,窓
🛏️,ベッド
🚿,シャワー
🚽,トイレ
🔑,鍵
🔒,錠
🪜,はしご
👀,目
🏧,ATM
💳,カード
🔴,赤
🟠,オレンジ
🟡,黄色
🟢,緑
🔵,青
🟣,紫
⚫,黒
⚪,白
🟤,茶色
🐱,猫
🐶,犬
🐰,ウサギ
🦊,キツネ
🐻,クマ
🐯,トラ
🦁,ライオン
🐮,牛
🐷,豚
🐸,カエル
🐵,サル
🐔,鶏
🐧,ペンギン
🐤,ひよこ
🦆,アヒル
🦅,ワシ
🐺,オオカミ
🐗,イノシシ
🐴,馬
🐝,ミツバチ
🐛,イモムシ
🦋,蝶
🐌,カタツムリ
🐞,テントウムシ
🐜,アリ
🦗,コオロギ
🕷️,クモ
🦂,サソリ
🐢,カメ
🐍,ヘビ
🦎,トカゲ
🐙,タコ
🦑,イカ
🦐,エビ
🦞,ロブスター
🦀,カニ
🐠,魚
🐳,クジラ
🐬,イルカ
🦈,サメ
🐊,ワニ
🦓,シマウマ
🐘,ゾウ
🐪,ラクダ
🦘,カンガルー
🐑,羊
🦢,白鳥
🦝,アライグマ
🦨,スカンク
🦔,ハリネズミ
🚌,バス
🚗,車
🏎️,レーシングカー
🚠,ロープウェイ
🚅,新幹線
🚂,列車
✈️,飛行機
🛫,離陸
🛬,着陸
🪂,パラシュート
🚁,ヘリコプター
🛰️,衛星
🚀,ロケット
🚢,船
🛥️,モーターボート
🚤,スピードボート
⛵,ヨット
🛶,カヌー
⚓,錨
⛽,ガソリン
🚦,信号
📱,電話
📶,信号
🔌,プラグ
🛜,Wi-Fi
🎣,釣り
🛠️,道具
📚,本
