emoji,korean
❌,아니요
✅,예
☀️,태양
🌙,달
⭐,별
💧,물
🌳,나무
🌸,꽃
🍚,밥
🍞,빵
🥗,샐러드
🍕,피자
🍔,햄버거
🍟,감자튀김
🍗,닭고기
🥩,고기
🐟,생선
🍤,새우
🥚,계란
🧀,치즈
🥕,당근
🥔,감자
🌽,옥수수
🍅,토마토
🥒,오이
🥬,상추
🍇,포도
🍋,레몬
🍎,사과
🍌,바나나
🍉,수박
🍓,딸기
🍒,체리
🥥,코코넛
🍍,파인애플
🥭,망고
🍆,가지
🥑,아보카도
🌶️,고추
🫑,피망
🥜,땅콩
🍄,버섯
🧄,마늘
🍯,꿀
🍰,케이크
🍪,쿠키
🍫,초콜릿
🍬,사탕
🍭,막대사탕
🍩,도넛
🍦,아이스크림
🥤,음료
☕,커피
🍵,차
🧃,주스
🍺,맥주
🍷,와인
🏥,병원
💊,약
💉,주사
🩹,반창고
🩺,청진기
🌡️,온도계
🚔,경찰
🚑,구급차
🚒,소방차
🔥,불
🧯,소화기
💀,해골
☠️,독
⚡,번개
🌊,파도
🌧️,비
❄️,눈
🌪️,토네이도
🏠,집
🚪,문
🪟,창문
🛏️,침대
🚿,샤워
🚽,화장실
🔑,열쇠
🔒,자물쇠
🪜,사다리
👀,눈
🏧,ATM
💳,카드
🔴,빨강
🟠,주황
🟡,노랑
🟢,초록
🔵,파랑
🟣,보라
⚫,검정
⚪,하양
🟤,갈색
🐱,고양이
🐶,개
🐰,토끼
🦊,여우
🐻,곰
🐯,호랑이
🦁,사자
🐮,소
🐷,돼지
🐸,개구리
🐵,원숭이
🐔,닭
🐧,펭귄
🐤,병아리
🦆,오리
🦅,독수리
🐺,늑대
🐗,멧돼지
🐴,말
🐝,벌
🐛,애벌레
🦋,나비
🐌,달팽이
🐞,무당벌레
🐜,개미
🦗,귀뚜라미
🕷️,거미
🦂,전갈
🐢,거북이
🐍,뱀
🦎,도마뱀
🐙,문어
🦑,오징어
🦐,새우
🦞,바닷가재
🦀,게
🐠,물고기
🐳,고래
🐬,돌고래
🦈,상어
🐊,악어
🦓,얼룩말
🐘,코끼리
🐪,낙타
🦘,캥거루
🐑,양
🦢,백조
🦝,너구리
🦨,스컹크
🦔,고슴도치
🚌,버스
🚗,자동차
🏎️,경주용 자동차
🚠,케이블카
🚅,고속열차
🚂,기차
✈️,비행기
🛫,이륙
🛬,착륙
🪂,낙하산
🚁,헬리콥터
🛰️,위성
🚀,로켓
🚢,배
🛥️,모터보트
🚤,쾌속정
⛵,요트
🛶,카누
⚓,닻
⛽,휘발유
🚦,신호등
📱,전화
📶,신호
🔌,플러그
🛜,와이파이
🎣,낚시
🛠️,도구
📚,책
