emoji,mandarin
❌,不
✅,是
☀️,太阳
🌙,月亮
⭐,星星
💧,水
🌳,树
🌸,花
🍚,米饭
🍞,面包
🥗,沙拉
🍕,披萨
🍔,汉堡
🍟,薯条
🍗,鸡肉
🥩,肉
🐟,鱼
🍤,虾
🥚,鸡蛋
🧀,奶酪
🥕,胡萝卜
🥔,土豆
🌽,玉米
🍅,西红柿
🥒,黄瓜
🥬,生菜
🍇,葡萄
🍋,柠檬
🍎,苹果
🍌,香蕉
🍉,西瓜
🍓,草莓
🍒,樱桃
🥥,椰子
🍍,菠萝
🥭,芒果
🍆,茄子
🥑,牛油果
🌶️,辣椒
🫑,甜椒
🥜,花生
🍄,蘑菇
🧄,大蒜
🍯,蜂蜜
🍰,蛋糕
🍪,饼干
🍫,巧克力
🍬,糖果
🍭,棒棒糖
🍩,甜甜圈
🍦,冰淇淋
🥤,饮料
☕,咖啡
🍵,茶
🧃,果汁
🍺,啤酒
🍷,葡萄酒
🏥,医院
💊,药丸
💉,注射
🩹,创可贴
🩺,听诊器
🌡️,温度计
🚔,警察
🚑,救护车
🚒,消防车
🔥,火
🧯,灭火器
💀,骷髅
☠️,毒药
⚡,闪电
🌊,波浪
🌧️,雨
❄️,雪
🌪️,龙卷风
🏠,房子
🚪,门
🪟,窗户
🛏️,床
🚿,淋浴
🚽,厕所
🔑,钥匙
🔒,锁
🪜,梯子
👀,眼睛
🏧,自动取款机
💳,卡
🔴,红色
🟠,橙色
🟡,黄色
🟢,绿色
🔵,蓝色
🟣,紫色
⚫,黑色
⚪,白色
🟤,棕色
🐱,猫
🐶,狗
🐰,兔子
🦊,狐狸
🐻,熊
🐯,老虎
🦁,狮子
🐮,牛
🐷,猪
🐸,青蛙
🐵,猴子
🐔,鸡
🐧,企鹅
🐤,小鸡
🦆,鸭子
🦅,鹰
🐺,狼
🐗,野猪
🐴,马
🐝,蜜蜂
🐛,毛毛虫
🦋,蝴蝶
🐌,蜗牛
🐞,瓢虫
🐜,蚂蚁
🦗,蟋蟀
🕷️,蜘蛛
🦂,蝎子
🐢,乌龟
🐍,蛇
🦎,蜥蜴
🐙,章鱼
🦑,鱿鱼
🦐,虾
🦞,龙虾
🦀,螃蟹
🐠,鱼
🐳,鲸鱼
🐬,海豚
🦈,鲨鱼
🐊,鳄鱼
🦓,斑马
🐘,大象
🐪,骆驼
🦘,袋鼠
🐑,羊
🦢,天鹅
🦝,浣熊
🦨,臭鼬
🦔,刺猬
🚌,公共汽车
🚗,汽车
🏎️,赛车
🚠,缆车
🚅,高铁
🚂,火车
✈️,飞机
🛫,起飞
🛬,降落
🪂,降落伞
🚁,直升机
🛰️,卫星
🚀,火箭
🚢,船
🛥️,快艇
🚤,快艇
⛵,帆船
🛶,独木舟
⚓,锚
⛽,汽油
🚦,红绿灯
📱,手机
📶,信号
🔌,插头
🛜,无线网络
🎣,钓鱼
🛠️,工具
📚,书
