emoji,norwegian
❌,nei
✅,ja
☀️,sol
🌙,måne
⭐,stjerne
💧,vann
🌳,tre
🌸,blomst
🍚,ris
🍞,brød
🥗,salat
🍕,pizza
🍔,hamburger
🍟,pommes frites
🍗,kylling
🥩,kjøtt
🐟,fisk
🍤,reke
🥚,egg
🧀,ost
🥕,gulrot
🥔,potet
🌽,mais
🍅,tomat
🥒,agurk
🥬,salat
🍇,druer
🍋,sitron
🍎,eple
🍌,banan
🍉,vannmelon
🍓,jordbær
🍒,kirsebær
🥥,kokosnøtt
🍍,ananas
🥭,mango
🍆,aubergine
🥑,avokado
🌶️,chili
🫑,paprika
🥜,peanøtt
🍄,sopp
🧄,hvitløk
🍯,honning
🍰,kake
🍪,kjeks
🍫,sjokolade
🍬,godteri
🍭,slikkepinne
🍩,smultring
🍦,iskrem
🥤,drikke
☕,kaffe
🍵,te
🧃,juice
🍺,øl
🍷,vin
🏥,sykehus
💊,pille
💉,sprøyte
🩹,plaster
🩺,stetoskop
🌡️,termometer
🚔,politi
🚑,ambulanse
🚒,brannbil
🔥,ild
🧯,brannslukker
💀,hodeskalle
☠️,fare
⚡,lyn
🌊,bølge
🌧️,regn
❄️,snø
🌪️,tornado
🏠,hus
🚪,dør
🪟,vindu
🛏️,seng
🚿,dusj
🚽,toalett
🔑,nøkkel
🔒,lås
🪜,stige
👀,øyne
🏧,minibank
💳,kort
🔴,rød
🟠,oransje
🟡,gul
🟢,grønn
🔵,blå
🟣,lilla
⚫,svart
⚪,hvit
🟤,brun
🐱,katt
🐶,hund
🐰,kanin
🦊,rev
🐻,bjørn
🐯,tiger
🦁,løve
🐮,ku
🐷,gris
🐸,frosk
🐵,ape
🐔,høne
🐧,pingvin
🐤,kylling
🦆,and
🦅,ørn
🐺,ulv
🐗,villsvin
🐴,hest
🐝,bie
🐛,larve
🦋,sommerfugl
🐌,snegl
🐞,marihøne
🐜,maur
🦗,gresshoppe
🕷️,edderkopp
🦂,skorpion
🐢,skilpadde
🐍,slange
🦎,øgle
🐙,blekksprut
🦑,akkar
🦐,reke
🦞,hummer
🦀,krabbe
🐠,fisk
🐳,hval
🐬,delfin
🦈,hai
🐊,krokodille
🦓,sebra
🐘,elefant
🐪,kamel
🦘,kenguru
🐑,sau
🦢,svane
🦝,vaskebjørn
🦨,skunk
🦔,pinnsvin
🚌,buss
🚗,bil
🏎️,racerbil
🚠,taubane
🚅,tog
🚂,damplokomotiv
✈️,fly
🛫,avgang
🛬,landing
🪂,fallskjerm
🚁,helikopter
🛰️,satellitt
🚀,rakett
🚢,skip
🛥️,motorbåt
🚤,speedbåt
⛵,seilbåt
🛶,kano
⚓,anker
⛽,bensin
🚦,trafikklys
📱,telefon
📶,signal
🔌,plugg
🛜,wifi
🎣,fiske
🛠️,verktøy
📚,bøker
