emoji,polish
❌,nie
✅,tak
☀️,słońce
🌙,księżyc
⭐,gwiazda
💧,woda
🌳,drzewo
🌸,kwiat
🍚,ryż
🍞,chleb
🥗,sałatka
🍕,pizza
🍔,hamburger
🍟,frytki
🍗,kurczak
🥩,mięso
🐟,ryba
🍤,krewetka
🥚,jajko
🧀,ser
🥕,marchew
🥔,ziemniak
🌽,kukurydza
🍅,pomidor
🥒,ogórek
🥬,sałata
🍇,winogrona
🍋,cytryna
🍎,jabłko
🍌,banan
🍉,arbuz
🍓,truskawka
🍒,wiśnia
🥥,kokos
🍍,ananas
🥭,mango
🍆,bakłażan
🥑,awokado
🌶️,papryczka chili
🫑,papryka
🥜,orzeszek
🍄,grzyb
🧄,czosnek
🍯,miód
🍰,ciasto
🍪,ciastko
🍫,czekolada
🍬,cukierek
🍭,lizak
🍩,pączek
🍦,lody
🥤,napój
☕,kawa
🍵,herbata
🧃,sok
🍺,piwo
🍷,wino
🏥,szpital
💊,tabletka
💉,zastrzyk
🩹,plaster
🩺,stetoskop
🌡️,termometr
🚔,policja
🚑,karetka
🚒,straż pożarna
🔥,ogień
🧯,gaśnica
💀,czaszka
☠️,niebezpieczeństwo
⚡,piorun
🌊,fala
🌧️,deszcz
❄️,śnieg
🌪️,tornado
🏠,dom
🚪,drzwi
🪟,okno
🛏️,łóżko
🚿,prysznic
🚽,toaleta
🔑,klucz
🔒,zamek
🪜,drabina
👀,oczy
🏧,bankomat
💳,karta
🔴,czerwony
🟠,pomarańczowy
🟡,żółty
🟢,zielony
🔵,niebieski
🟣,fioletowy
⚫,czarny
⚪,biały
🟤,brązowy
🐱,kot
🐶,pies
🐰,królik
🦊,lis
🐻,niedźwiedź
🐯,tygrys
🦁,lew
🐮,krowa
🐷,świnia
🐸,żaba
🐵,małpa
🐔,kura
🐧,pingwin
🐤,pisklę
🦆,kaczka
🦅,orzeł
🐺,wilk
🐗,dzik
🐴,koń
🐝,pszczoła
🐛,gąsienica
🦋,motyl
🐌,ślimak
🐞,biedronka
🐜,mrówka
🦗,świerszcz
🕷️,pająk
🦂,skorpion
🐢,żółw
🐍,wąż
🦎,jaszczurka
🐙,ośmiornica
🦑,kałamarnica
🦐,krewetka
🦞,homar
🦀,krab
🐠,ryba
🐳,wieloryb
🐬,delfin
🦈,rekin
🐊,krokodyl
🦓,zebra
🐘,słoń
🐪,wielbłąd
🦘,kangur
🐑,owca
🦢,łabędź
🦝,szop
🦨,skunks
🦔,jeż
🚌,autobus
🚗,samochód
🏎️,samochód wyścigowy
🚠,kolejka linowa
🚅,pociąg
🚂,parowóz
✈️,samolot
🛫,start
🛬,lądowanie
🪂,spadochron
🚁,helikopter
🛰️,satelita
🚀,rakieta
🚢,statek
🛥️,motorówka
🚤,łódź motorowa
⛵,żaglówka
🛶,kajak
⚓,kotwica
⛽,benzyna
🚦,światła
📱,telefon
📶,sygnał
🔌,wtyczka
🛜,wifi
🎣,wędkarstwo
🛠️,narzędzia
📚,książki
