emoji,romanian
❌,nu
✅,da
☀️,soare
🌙,lună
⭐,stea
💧,apă
🌳,copac
🌸,floare
🍚,orez
🍞,pâine
🥗,salată
🍕,pizza
🍔,hamburger
🍟,cartofi prăjiți
🍗,pui
🥩,carne
🐟,pește
🍤,crevetă
🥚,ou
🧀,brânză
🥕,morcov
🥔,cartof
🌽,porumb
🍅,roșie
🥒,castravete
🥬,salată verde
🍇,struguri
🍋,lămâie
🍎,măr
🍌,banană
🍉,pepene
🍓,căpșună
🍒,cireașă
🥥,nucă de cocos
🍍,ananas
🥭,mango
🍆,vânătă
🥑,avocado
🌶️,ardei iute
🫑,ardei
🥜,arahidă
🍄,ciupercă
🧄,usturoi
🍯,miere
🍰,tort
🍪,biscuit
🍫,ciocolată
🍬,bomboană
🍭,acadea
🍩,gogoașă
🍦,înghețată
🥤,băutură
☕,cafea
🍵,ceai
🧃,suc
🍺,bere
🍷,vin
🏥,spital
💊,pastilă
💉,injecție
🩹,plasture
🩺,stetoscop
🌡️,termometru
🚔,poliție
🚑,ambulanță
🚒,pompieri
🔥,foc
🧯,stingător
💀,craniu
☠️,pericol
⚡,fulger
🌊,val
🌧️,ploaie
❄️,zăpadă
🌪️,tornadă
🏠,casă
🚪,ușă
🪟,fereastră
🛏️,pat
🚿,duș
🚽,toaletă
🔑,cheie
🔒,lacăt
🪜,scară
👀,ochi
🏧,bancomat
💳,card
🔴,roșu
🟠,portocaliu
🟡,galben
🟢,verde
🔵,albastru
🟣,violet
⚫,negru
⚪,alb
🟤,maro
🐱,pisică
🐶,câine
🐰,iepure
🦊,vulpe
🐻,urs
🐯,tigru
🦁,leu
🐮,vacă
🐷,porc
🐸,broască
🐵,maimuță
🐔,găină
🐧,pinguin
🐤,pui
🦆,rață
🦅,vultur
🐺,lup
🐗,mistreț
🐴,cal
🐝,albină
🐛,omidă
🦋,fluture
🐌,melc
🐞,buburuză
🐜,furnică
🦗,greier
🕷️,păianjen
🦂,scorpion
🐢,broască țestoasă
🐍,șarpe
🦎,șopârlă
🐙,caracatiță
🦑,calmar
🦐,crevetă
🦞,homar
🦀,crab
🐠,pește
🐳,balenă
🐬,delfin
🦈,rechin
🐊,crocodil
🦓,zebră
🐘,elefant
🐪,cămilă
🦘,cangur
🐑,oaie
🦢,lebădă
🦝,raton
🦨,sconcs
🦔,arici
🚌,autobuz
🚗,mașină
🏎️,mașină de curse
🚠,telecabină
🚅,tren
🚂,locomotivă
✈️,avion
🛫,decolare
🛬,aterizare
🪂,parașută
🚁,elicopter
🛰️,satelit
🚀,rachetă
🚢,navă
🛥️,barcă cu motor
🚤,barcă rapidă
⛵,velă
🛶,canoe
⚓,ancoră
⛽,benzină
🚦,semafor
📱,telefon
📶,semnal
🔌,priză
🛜,wifi
🎣,pescuit
🛠️,unelte
📚,cărți
