emoji,russian
❌,нет
✅,да
☀️,солнце
🌙,луна
⭐,звезда
💧,вода
🌳,дерево
🌸,цветок
🍚,рис
🍞,хлеб
🥗,салат
🍕,пицца
🍔,гамбургер
🍟,картофель фри
🍗,курица
🥩,мясо
🐟,рыба
🍤,креветка
🥚,яйцо
🧀,сыр
🥕,морковь
🥔,картофель
🌽,кукуруза
🍅,помидор
🥒,огурец
🥬,салат
🍇,виноград
🍋,лимон
🍎,яблоко
🍌,банан
🍉,арбуз
🍓,клубника
🍒,вишня
🥥,кокос
🍍,ананас
🥭,манго
🍆,баклажан
🥑,авокадо
🌶️,перец чили
🫑,перец
🥜,арахис
🍄,гриб
🧄,чеснок
🍯,мёд
🍰,торт
🍪,печенье
🍫,шоколад
🍬,конфета
🍭,леденец
🍩,пончик
🍦,мороженое
🥤,напиток
☕,кофе
🍵,чай
🧃,сок
🍺,пиво
🍷,вино
🏥,больница
💊,таблетка
💉,укол
🩹,пластырь
🩺,стетоскоп
🌡️,термометр
🚔,полиция
🚑,скорая помощь
🚒,пожарная машина
🔥,огонь
🧯,огнетушитель
💀,череп
☠️,опасность
⚡,молния
🌊,волна
🌧️,дождь
❄️,снег
🌪️,торнадо
🏠,дом
🚪,дверь
🪟,окно
🛏️,кровать
🚿,душ
🚽,туалет
🔑,ключ
🔒,замок
🪜,лестница
👀,глаза
🏧,банкомат
💳,карта
🔴,красный
🟠,оранжевый
🟡,жёлтый
🟢,зелёный
🔵,синий
🟣,фиолетовый
⚫,чёрный
⚪,белый
🟤,коричневый
🐱,кошка
🐶,собака
🐰,кролик
🦊,лиса
🐻,медведь
🐯,тигр
🦁,лев
🐮,корова
🐷,свинья
🐸,лягушка
🐵,обезьяна
🐔,курица
🐧,пингвин
🐤,цыплёнок
🦆,утка
🦅,орёл
🐺,волк
🐗,кабан
🐴,лошадь
🐝,пчела
🐛,гусеница
🦋,бабочка
🐌,улитка
🐞,божья коровка
🐜,муравей
🦗,сверчок
🕷️,паук
🦂,скорпион
🐢,черепаха
🐍,змея
🦎,ящерица
🐙,осьминог
🦑,кальмар
🦐,креветка
🦞,омар
🦀,краб
🐠,рыба
🐳,кит
🐬,дельфин
🦈,акула
🐊,крокодил
🦓,зебра
🐘,слон
🐪,верблюд
🦘,кенгуру
🐑,овца
🦢,лебедь
🦝,енот
🦨,скунс
🦔,ёж
🚌,автобус
🚗,машина
🏎️,гоночная машина
🚠,канатная дорога
🚅,поезд
🚂,паровоз
✈️,самолёт
🛫,взлёт
🛬,посадка
🪂,парашют
🚁,вертолёт
🛰️,спутник
🚀,ракета
🚢,корабль
🛥️,моторная лодка
🚤,катер
⛵,парусник
🛶,каноэ
⚓,якорь
⛽,бензин
🚦,светофор
📱,телефон
📶,сигнал
🔌,розетка
🛜,wifi
🎣,рыбалка
🛠️,инструменты
📚,книги
