emoji,swedish
❌,nej
✅,ja
☀️,sol
🌙,måne
⭐,stjärna
💧,vatten
🌳,träd
🌸,blomma
🍚,ris
🍞,bröd
🥗,sallad
🍕,pizza
🍔,hamburgare
🍟,pommes frites
🍗,kyckling
🥩,kött
🐟,fisk
🍤,räka
🥚,ägg
🧀,ost
🥕,morot
🥔,potatis
🌽,majs
🍅,tomat
🥒,gurka
🥬,sallad
🍇,druvor
🍋,citron
🍎,äpple
🍌,banan
🍉,vattenmelon
🍓,jordgubbe
🍒,körsbär
🥥,kokosnöt
🍍,ananas
🥭,mango
🍆,aubergine
🥑,avokado
🌶️,chili
🫑,paprika
🥜,jordnöt
🍄,svamp
🧄,vitlök
🍯,honung
🍰,tårta
🍪,kaka
🍫,choklad
🍬,godis
🍭,klubba
🍩,munk
🍦,glass
🥤,dryck
☕,kaffe
🍵,te
🧃,juice
🍺,öl
🍷,vin
🏥,sjukhus
💊,piller
💉,spruta
🩹,plåster
🩺,stetoskop
🌡️,termometer
🚔,polis
🚑,ambulans
🚒,brandbil
🔥,eld
🧯,brandsläckare
💀,dödskalle
☠️,fara
⚡,blixt
🌊,våg
🌧️,regn
❄️,snö
🌪️,tornado
🏠,hus
🚪,dörr
🪟,fönster
🛏️,säng
🚿,dusch
🚽,toalett
🔑,nyckel
🔒,lås
🪜,stege
👀,ögon
🏧,bankomat
💳,kort
🔴,röd
🟠,orange
🟡,gul
🟢,grön
🔵,blå
🟣,lila
⚫,svart
⚪,vit
🟤,brun
🐱,katt
🐶,hund
🐰,kanin
🦊,räv
🐻,björn
🐯,tiger
🦁,lejon
🐮,ko
🐷,gris
🐸,groda
🐵,apa
🐔,höna
🐧,pingvin
🐤,kyckling
🦆,anka
🦅,örn
🐺,varg
🐗,vildsvin
🐴,häst
🐝,bi
🐛,larv
🦋,fjäril
🐌,snigel
🐞,nyckelpiga
🐜,myra
🦗,gräshoppa
🕷️,spindel
🦂,skorpion
🐢,sköldpadda
🐍,orm
🦎,ödla
🐙,bläckfisk
🦑,bläckfisk
🦐,räka
🦞,hummer
🦀,krabba
🐠,fisk
🐳,val
🐬,delfin
🦈,haj
🐊,krokodil
🦓,sebra
🐘,elefant
🐪,kamel
🦘,känguru
🐑,får
🦢,svan
🦝,tvättbjörn
🦨,skunk
🦔,igelkott
🚌,buss
🚗,bil
🏎️,racerbil
🚠,linbana
🚅,tåg
🚂,ånglok
✈️,flygplan
🛫,start
🛬,landning
🪂,fallskärm
🚁,helikopter
🛰️,satellit
🚀,raket
🚢,fartyg
🛥️,motorbåt
🚤,snabbbåt
⛵,segelbåt
🛶,kanot
⚓,ankare
⛽,bensin
🚦,trafikljus
📱,telefon
📶,signal
🔌,stickkontakt
🛜,wifi
🎣,fiske
🛠️,verktyg
📚,böcker
