emoji,thai
❌,ไม่
✅,ใช่
☀️,ดวงอาทิตย์
🌙,ดวงจันทร์
⭐,ดาว
💧,น้ำ
🌳,ต้นไม้
🌸,ดอกไม้
🍚,ข้าว
🍞,ขนมปัง
🥗,สลัด
🍕,พิซซ่า
🍔,แฮมเบอร์เกอร์
🍟,มันฝรั่งทอด
🍗,ไก่
🥩,เนื้อ
🐟,ปลา
🍤,กุ้ง
🥚,ไข่
🧀,ชีส
🥕,แครอท
🥔,มันฝรั่ง
🌽,ข้าวโพด
🍅,มะเขือเทศ
🥒,แตงกวา
🥬,ผักสลัด
🍇,องุ่น
🍋,มะนาว
🍎,แอปเปิ้ล
🍌,กล้วย
🍉,แตงโม
🍓,สตรอว์เบอร์รี่
🍒,เชอร์รี่
🥥,มะพร้าว
🍍,สับปะรด
🥭,มะม่วง
🍆,มะเขือยาว
🥑,อะโวคาโด
🌶️,พริก
🫑,พริกหยวก
🥜,ถั่วลิสง
🍄,เห็ด
🧄,กระเทียม
🍯,น้ำผึ้ง
🍰,เค้ก
🍪,คุกกี้
🍫,ช็อกโกแลต
🍬,ลูกอม
🍭,อมยิ้ม
🍩,โดนัท
🍦,ไอศกรีม
🥤,เครื่องดื่ม
☕,กาแฟ
🍵,ชา
🧃,น้ำผลไม้
🍺,เบียร์
🍷,ไวน์
🏥,โรงพยาบาล
💊,ยา
💉,เข็ม
🩹,พลาสเตอร์
🩺,หูฟัง
🌡️,เทอร์โมมิเตอร์
🚔,ตำรวจ
🚑,รถพยาบาล
🚒,รถดับเพลิง
🔥,ไฟ
🧯,เครื่องดับเพลิง
💀,กะโหลกศีรษะ
☠️,อันตราย
⚡,ฟ้าผ่า
🌊,คลื่น
🌧️,ฝน
❄️,หิมะ
🌪️,พายุทอร์นาโด
🏠,บ้าน
🚪,ประตู
🪟,หน้าต่าง
🛏️,เตียง
🚿,ฝักบัว
🚽,ห้องน้ำ
🔑,กุญแจ
🔒,แม่กุญแจ
🪜,บันได
👀,ตา
🏧,ตู้เอทีเอ็ม
💳,บัตร
🔴,แดง
🟠,ส้ม
🟡,เหลือง
🟢,เขียว
🔵,น้ำเงิน
🟣,ม่วง
⚫,ดำ
⚪,ขาว
🟤,น้ำตาล
🐱,แมว
🐶,สุนัข
🐰,กระต่าย
🦊,จิ้งจอก
🐻,หมี
🐯,เสือ
🦁,สิงโต
🐮,วัว
🐷,หมู
🐸,กบ
🐵,ลิง
🐔,ไก่
🐧,เพนกวิน
🐤,ลูกไก่
🦆,เป็ด
🦅,นกอินทรี
🐺,หมาป่า
🐗,หมูป่า
🐴,ม้า
🐝,ผึ้ง
🐛,หนอน
🦋,ผีเสื้อ
🐌,หอยทาก
🐞,เต่าทอง
🐜,มด
🦗,จิ้งหรีด
🕷️,แมงมุม
🦂,แมงป่อง
🐢,เต่า
🐍,งู
🦎,จิ้งจก
🐙,ปลาหมึกยักษ์
🦑,ปลาหมึก
🦐,กุ้ง
🦞,กุ้งมังกร
🦀,ปู
🐠,ปลา
🐳,วาฬ
🐬,โลมา
🦈,ฉลาม
🐊,จระเข้
🦓,ม้าลาย
🐘,ช้าง
🐪,อูฐ
🦘,จิงโจ้
🐑,แกะ
🦢,หงส์
🦝,แรคคูน
🦨,สกังก์
🦔,เม่น
🚌,รถบัส
🚗,รถยนต์
🏎️,รถแข่ง
🚠,รถกระเช้า
🚅,รถไฟ
🚂,หัวรถจักร
✈️,เครื่องบิน
🛫,ขึ้น
🛬,ลง
🪂,ร่มชูชีพ
🚁,เฮลิคอปเตอร์
🛰️,ดาวเทียม
🚀,จรวด
🚢,เรือ
🛥️,เรือมอเตอร์
🚤,เรือเร็ว
⛵,เรือใบ
🛶,เรือแคนู
⚓,สมอ
⛽,น้ำมัน
🚦,ไฟจราจร
📱,โทรศัพท์
📶,สัญญาณ
🔌,ปลั๊ก
🛜,ไวไฟ
🎣,ตกปลา
🛠️,เครื่องมือ
📚,หนังสือ
